semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
49;Agamenon Magalhães, Av. Gov.;Odorico Mendes, Rua;E/Git;Veicular;N;N;-8.039799;-34.878830
50;José Osório, Rua;Visconde de Albuquerque, Rua;E/Git;Veic.C/Ped.;N;N;-8.053295;-34.906710
51;Benfica, Rua;Remédios, Estrada dos;E/Git;Veic.C/Ped.;N;N;-8.058950;-34.907230
52;Abdias de Carvalho, Av.;Remédios, Estrada dos;E/Git;Veicular;N;S;-8.061707;-34.907595
53;São Miguel, Rua;Remédios, Estrada dos;E/Git;Veic.C/Ped.Ocas.;N;N;-8.080270;-34.906584
54;Dantas Barreto, Av.;São João, Rua de;E/Git;Veic.C/Ped.Paral.;N;N;-8.070171;-34.882313
55;Recife, Av.;Pintor Antônio Albuquerque, Rua;E/Git;Veicular;N;N;-8.107911;-34.927095
56;Norte Miguel Arraes de Alencar, Av.;Marquez do Paraná, Rua;E/Git;Veicular;N;N;-8.039898;-34.887527
57;Abdias de Carvalho, Av.;Carlos Gomes, Rua;E/Git;Veicular;N;N;-8.062552;-34.913114
58;Abdias de Carvalho, Av.;San Martin, Av. Gal.;E/Git;Veicular;N;N;-8.060488;-34.925719
59;Recife, Av.;Jacínto da Cruz, Rua Cap.;E/Git;Veicular;N;N;-8.094007;-34.929048
60;Vincente Gomes,  Rua Dr.;Setubal,  Rua;E/Git;Veicular;N;N;-8.133058;-34.901751
61;Arraial, Estrada do;Cônego Barata, Rua;E/Git;Veicular;N;N;-8.033199;-34.903511
62;Norte Miguel Arraes de Alencar, Av.;Cônego Barata, Rua;E/Git;Veicular;N;N;-8.029633;-34.900494
63;Beberibe, Av.;Men de Sá, Rua;E/Git;Veicular;N;N;-8.030124;-34.892476
64;Beberibe, Av.;São Bento, Rua;E/Git;Veicular;N;N;-8.023192;-34.893899
65;Norte Miguel Arraes de Alencar, Av.;Nova Descoberta, Rua;E/Git;Veicular;N;N;-8.019908;-34.926677
66;Norte Miguel Arraes de Alencar, Av.;Padre Lemos, Rua;E/Git;Veicular;N;N;-8.020799;-34.921718
67;San Martin, Av. Gal.;Gomes Taborda, Rua;E;Veic.C/Ped.;N;N;-8.055486;-34.923966
68;Agamenon Magalhães, Av. Gov.;Henrique Dias, Rua;E/Git;Veicular;N;N;-8.058912;-34.897931
69;Agamenon Magalhães, Av. Gov.;Paissandú, Rua do;E/Git;Veic.C/Ped.Paral.;N;N;-8.062523;-34.897543
70;Jean Emile Favre, Rua;Saturnino Meireles, Rua;E;Veicular;N;N;-8.113264;-34.922089
71;Joaquim Nabuco, Rua;Creoulas, Rua das;E/Git;Veicular;N;N;-8.052473;-34.899471
72;Sul, Av.;Sob Viaduto de 5 Pontas;E;Ocasional/Ped.;S;N;-8.072364;-34.880475
73;Nicolau Pereira, Rua;Paz, Rua da;E/Git;Veicular;N;N;-8.079545;-34.904337
74;Arraial, Estrada do;Harmonia, Rua da;E/Git;Veic.C/Ped.;N;N;-8.027477;-34.913859
75;Agamenon Magalhães, Av. Gov.;Carlos de Lima Cavalcante, Av.;E/Git;Veicular;N;N;-8.056709;-34.897924
76;Santa Rita, Cais de;E/F ao Armazém 16;E/Git;Veicular;N;N;-8.069600;-34.875396
77;Beira Rio, Av.;Ponte da Torre, Próx.;E/Git;Ocasional/Ped.;N;N;-8.046546;-34.904220
78;Agamenon Magalhães, Av. Gov.;Buenos Aires, Rua;E/Git;Veicular;N;N;-8.048678;-34.892940
79;Norte Miguel Arraes de Alencar, Av.;Córrego do Bartolomeu, Rua;E/Git;Veicular;N;N;-8.024091;-34.911926
80;Caxangá, Av.;San Martin, Av. Gal.;E/Git;Veicular;N;N;-8.050447;-34.921077
81;Norte Miguel Arraes de Alencar, Av.;Santos Dumont, Av.;E/Git;Veicular;N;N;-8.033536;-34.896475
82;José Rufino, Av. Dr.;João Teixeira, Rua;E;Veic.C/Ped.Ocas.;N;N;-8.084694;-34.928126
83;Manoel Borba, Av.;Ninfas, Rua das;E/Git;Veicular;N;S;-8.059303;-34.891310
84;Boa Viagem, Av.;Armindo Moura, Av.;E/Git;Veic.C/Ped.Paral.;N;S;-8.151128;-34.907787
85;Recife, Av.;Estevão Fernandes, Rua Cap.;E/Git;Ocasional/Ped.;N;N;-8.092779;-34.929265
86;Barão de Itamaracá, Rua;Espinheiro, Rua do;E/Git;Veicular;N;N;-8.043457;-34.893356
87;Imperial, Rua;do Gaspar, Travessa;E;Ocasional/Ped.;N;N;-8.076451;-34.895944
88;Maurício de Nassau, Av.;Nossa Senhora da Saúde, Rua;E;Veicular;N;N;-8.040724;-34.927190
89;João de Barros, Av.;Espinheiro, Rua do;E/Git;Veicular;N;N;-8.041333;-34.891432
90;Aurora, Rua da;Mário Melo. Av.;E;Veic.C/Ped.;N;N;-8.056323;-34.877953
91;Falcão de Lacerda, Rua;E/F à Igreja de Tejipió;E;Ocasional/Ped.;N;N;-8.093354;-34.963753
92;Hospício, Rua do;Riachuelo, Rua do;E/Git;Veicular;N;N;-8.059149;-34.883491
93;Álvares de Azevedo, Rua;Gouveia de Barros, Rua;E;Veicular;N;N;-8.049570;-34.888670
